"Step","faithful-eon-88 - Training PPL","faithful-eon-88 - Training PPL__MIN","faithful-eon-88 - Training PPL__MAX"
"0","7599.601548772409","7599.601548772409","7599.601548772409"
"1","2701.413046932953","2701.413046932953","2701.413046932953"
"2","1204.973686649115","1204.973686649115","1204.973686649115"
"3","590.5818775320486","590.5818775320486","590.5818775320486"
"4","585.2113345991299","585.2113345991299","585.2113345991299"
"5","516.3715934828981","516.3715934828981","516.3715934828981"
"6","411.0380616866437","411.0380616866437","411.0380616866437"
"7","328.13593030058973","328.13593030058973","328.13593030058973"
"8","330.17349019283984","330.17349019283984","330.17349019283984"
"9","277.7268108202949","277.7268108202949","277.7268108202949"
"11","225.72377117475457","225.72377117475457","225.72377117475457"
"12","217.0009835429824","217.0009835429824","217.0009835429824"
"13","181.81021207643212","181.81021207643212","181.81021207643212"
"14","167.97129893780632","167.97129893780632","167.97129893780632"
"15","93.62675413050155","93.62675413050155","93.62675413050155"
"16","127.85981973339013","127.85981973339013","127.85981973339013"
"17","66.69188329374454","66.69188329374454","66.69188329374454"
"18","70.60638710266768","70.60638710266768","70.60638710266768"
"19","115.98074287570783","115.98074287570783","115.98074287570783"
"20","61.598816768310215","61.598816768310215","61.598816768310215"
"22","67.5568390220478","67.5568390220478","67.5568390220478"
"23","71.83039590844223","71.83039590844223","71.83039590844223"
"24","75.6318632894227","75.6318632894227","75.6318632894227"
"25","61.14956416713262","61.14956416713262","61.14956416713262"
"26","39.264217059725524","39.264217059725524","39.264217059725524"
"27","35.07675806615656","35.07675806615656","35.07675806615656"
"28","27.313768842929367","27.313768842929367","27.313768842929367"
"29","49.61509916578523","49.61509916578523","49.61509916578523"
"30","34.23132416617545","34.23132416617545","34.23132416617545"
"31","37.80956679777564","37.80956679777564","37.80956679777564"
"33","51.620355564519905","51.620355564519905","51.620355564519905"
"34","37.66830364870615","37.66830364870615","37.66830364870615"
"35","41.21015362946027","41.21015362946027","41.21015362946027"
"36","33.05213667779264","33.05213667779264","33.05213667779264"
"37","30.639640650881276","30.639640650881276","30.639640650881276"
"38","30.087963667408324","30.087963667408324","30.087963667408324"
"39","28.00645812979946","28.00645812979946","28.00645812979946"
"40","38.09391142865181","38.09391142865181","38.09391142865181"
"41","43.10711598161727","43.10711598161727","43.10711598161727"
"42","28.239880952899203","28.239880952899203","28.239880952899203"
"44","21.905382602135987","21.905382602135987","21.905382602135987"
"45","29.552912719935026","29.552912719935026","29.552912719935026"
"46","33.380829802314416","33.380829802314416","33.380829802314416"
"47","33.65372578540486","33.65372578540486","33.65372578540486"
"48","34.16238917118606","34.16238917118606","34.16238917118606"
"49","55.25108770603651","55.25108770603651","55.25108770603651"
"50","32.786956398919045","32.786956398919045","32.786956398919045"
"51","28.7508786159605","28.7508786159605","28.7508786159605"
"52","22.969285169582683","22.969285169582683","22.969285169582683"
"53","30.151336712105227","30.151336712105227","30.151336712105227"
"55","30.460970516350162","30.460970516350162","30.460970516350162"
"56","40.95427606048003","40.95427606048003","40.95427606048003"
"57","23.561282383155792","23.561282383155792","23.561282383155792"
"58","19.441386667497497","19.441386667497497","19.441386667497497"
"59","26.094192749052052","26.094192749052052","26.094192749052052"
"60","30.873288119389397","30.873288119389397","30.873288119389397"
"61","22.605751278205144","22.605751278205144","22.605751278205144"
"62","18.344567240615753","18.344567240615753","18.344567240615753"
"63","14.354472215867025","14.354472215867025","14.354472215867025"
"64","17.255055830963304","17.255055830963304","17.255055830963304"
"66","26.82232061887521","26.82232061887521","26.82232061887521"
"67","19.159206287257007","19.159206287257007","19.159206287257007"
"69","17.439528386699003","17.439528386699003","17.439528386699003"
"70","29.947169270411845","29.947169270411845","29.947169270411845"
"71","16.802817061183564","16.802817061183564","16.802817061183564"
"72","21.39322643846136","21.39322643846136","21.39322643846136"
"73","28.431005627418198","28.431005627418198","28.431005627418198"
"74","27.603106319801935","27.603106319801935","27.603106319801935"
"75","18.739972648633593","18.739972648633593","18.739972648633593"
"76","23.88166955234081","23.88166955234081","23.88166955234081"
"77","18.44367931745336","18.44367931745336","18.44367931745336"
"78","17.96712760698473","17.96712760698473","17.96712760698473"
"80","21.082746402253086","21.082746402253086","21.082746402253086"
"81","26.90186347973353","26.90186347973353","26.90186347973353"
"82","20.625493962322405","20.625493962322405","20.625493962322405"
"83","25.37917406073587","25.37917406073587","25.37917406073587"
"84","15.638082563090247","15.638082563090247","15.638082563090247"
"85","24.12707343452569","24.12707343452569","24.12707343452569"
"86","12.736592270841017","12.736592270841017","12.736592270841017"
"87","16.097049248438587","16.097049248438587","16.097049248438587"
"88","32.119631021241034","32.119631021241034","32.119631021241034"
"89","17.641886234820245","17.641886234820245","17.641886234820245"
"91","16.767796193594624","16.767796193594624","16.767796193594624"
"92","21.669253269556165","21.669253269556165","21.669253269556165"
"93","22.585339187173034","22.585339187173034","22.585339187173034"
"94","18.887559990583735","18.887559990583735","18.887559990583735"
"95","14.245213365648707","14.245213365648707","14.245213365648707"
"96","13.876388178613032","13.876388178613032","13.876388178613032"
"97","11.745965243045413","11.745965243045413","11.745965243045413"
"98","17.958326765741567","17.958326765741567","17.958326765741567"
"99","13.900603529825498","13.900603529825498","13.900603529825498"
"100","15.297486761465676","15.297486761465676","15.297486761465676"
"102","21.92267117044331","21.92267117044331","21.92267117044331"
"103","18.18015370834536","18.18015370834536","18.18015370834536"
"104","19.702312550942306","19.702312550942306","19.702312550942306"
"105","15.82535827218667","15.82535827218667","15.82535827218667"
"106","15.477395398099487","15.477395398099487","15.477395398099487"
"107","15.171136131085081","15.171136131085081","15.171136131085081"
"108","14.367623570919873","14.367623570919873","14.367623570919873"
"109","20.4967735626986","20.4967735626986","20.4967735626986"
"110","22.400919580672056","22.400919580672056","22.400919580672056"
"111","15.400306283582285","15.400306283582285","15.400306283582285"
"113","12.704992780396243","12.704992780396243","12.704992780396243"
"114","17.32964986490046","17.32964986490046","17.32964986490046"
"115","17.999949249969386","17.999949249969386","17.999949249969386"
"116","20.238905052641087","20.238905052641087","20.238905052641087"
"117","20.4926934811322","20.4926934811322","20.4926934811322"
"118","32.60710503533213","32.60710503533213","32.60710503533213"
"119","20.56810802636801","20.56810802636801","20.56810802636801"
"120","17.430823901261807","17.430823901261807","17.430823901261807"
"121","14.146203002135485","14.146203002135485","14.146203002135485"
"122","16.946857468248865","16.946857468248865","16.946857468248865"
"124","19.415706162307135","19.415706162307135","19.415706162307135"
"125","25.339843680263545","25.339843680263545","25.339843680263545"
"126","15.260043041168442","15.260043041168442","15.260043041168442"
"127","13.193937608497922","13.193937608497922","13.193937608497922"
"128","16.327160188949232","16.327160188949232","16.327160188949232"
"129","21.189138836914573","21.189138836914573","21.189138836914573"
"130","14.16005478528499","14.16005478528499","14.16005478528499"
"131","13.186962335042395","13.186962335042395","13.186962335042395"
"132","10.25018282246403","10.25018282246403","10.25018282246403"
"133","12.320673567566697","12.320673567566697","12.320673567566697"
"135","19.268874752216778","19.268874752216778","19.268874752216778"
"136","13.441455303770836","13.441455303770836","13.441455303770836"
"138","12.188275352565347","12.188275352565347","12.188275352565347"
"139","21.198891217352575","21.198891217352575","21.198891217352575"
"140","12.525880998750923","12.525880998750923","12.525880998750923"
"141","15.637198955021088","15.637198955021088","15.637198955021088"
"142","20.244411504236695","20.244411504236695","20.244411504236695"
"143","19.054395531297555","19.054395531297555","19.054395531297555"
"144","13.596812445671915","13.596812445671915","13.596812445671915"
"145","17.923102390710213","17.923102390710213","17.923102390710213"
"146","13.154963689479144","13.154963689479144","13.154963689479144"
"147","12.637574753120406","12.637574753120406","12.637574753120406"
"149","15.055725867738197","15.055725867738197","15.055725867738197"
"150","20.130462609887676","20.130462609887676","20.130462609887676"
"151","15.078957488366578","15.078957488366578","15.078957488366578"
"152","18.921661535499894","18.921661535499894","18.921661535499894"
"153","12.368326181510218","12.368326181510218","12.368326181510218"
"154","18.32340207379636","18.32340207379636","18.32340207379636"
"155","10.34817680841438","10.34817680841438","10.34817680841438"
"156","13.058013145259773","13.058013145259773","13.058013145259773"
"157","24.502643593097076","24.502643593097076","24.502643593097076"
"158","14.077590107239603","14.077590107239603","14.077590107239603"
"160","13.28197245740371","13.28197245740371","13.28197245740371"
"161","17.26976938566476","17.26976938566476","17.26976938566476"
"162","16.606005137624024","16.606005137624024","16.606005137624024"
"163","14.698901319985877","14.698901319985877","14.698901319985877"
"164","11.637558849886341","11.637558849886341","11.637558849886341"
"165","11.529094648447677","11.529094648447677","11.529094648447677"
"166","9.579228564025572","9.579228564025572","9.579228564025572"
"167","14.102516332812781","14.102516332812781","14.102516332812781"
"168","11.064041571427607","11.064041571427607","11.064041571427607"
"169","12.2576004874877","12.2576004874877","12.2576004874877"
"171","17.55475293303874","17.55475293303874","17.55475293303874"
"172","14.79755995610193","14.79755995610193","14.79755995610193"
"173","16.060466416149485","16.060466416149485","16.060466416149485"
"174","12.825855918778284","12.825855918778284","12.825855918778284"
"175","12.914020842764451","12.914020842764451","12.914020842764451"
"176","12.829568773802544","12.829568773802544","12.829568773802544"
"177","11.896590430185656","11.896590430185656","11.896590430185656"
"178","17.55341366276825","17.55341366276825","17.55341366276825"
"179","18.29681200250696","18.29681200250696","18.29681200250696"
"180","12.625365820111417","12.625365820111417","12.625365820111417"
"182","10.812093782207105","10.812093782207105","10.812093782207105"
"183","14.45953495470496","14.45953495470496","14.45953495470496"
"184","14.782777912880368","14.782777912880368","14.782777912880368"
"185","17.067447342860277","17.067447342860277","17.067447342860277"
"186","17.419482170641253","17.419482170641253","17.419482170641253"
"187","27.558102044208383","27.558102044208383","27.558102044208383"
"188","17.8303498289342","17.8303498289342","17.8303498289342"
"189","14.685404715639427","14.685404715639427","14.685404715639427"
"190","11.968935520156542","11.968935520156542","11.968935520156542"
"191","14.404498451054431","14.404498451054431","14.404498451054431"
"193","16.58275728338052","16.58275728338052","16.58275728338052"
"194","21.553018385800893","21.553018385800893","21.553018385800893"
"195","13.284920953466939","13.284920953466939","13.284920953466939"
"196","11.492251669200664","11.492251669200664","11.492251669200664"
"197","14.034667429872696","14.034667429872696","14.034667429872696"
"198","18.12507231021422","18.12507231021422","18.12507231021422"
"199","11.989882252292931","11.989882252292931","11.989882252292931"
"200","11.644142086717743","11.644142086717743","11.644142086717743"
"201","9.165240300884493","9.165240300884493","9.165240300884493"
"202","10.760398743568924","10.760398743568924","10.760398743568924"
"204","16.518382917522356","16.518382917522356","16.518382917522356"
"205","11.809206761685909","11.809206761685909","11.809206761685909"
"207","10.733343920060193","10.733343920060193","10.733343920060193"
"208","18.95596927287195","18.95596927287195","18.95596927287195"
"209","11.054876123059351","11.054876123059351","11.054876123059351"
"210","13.998742638385757","13.998742638385757","13.998742638385757"
"211","17.315174268767937","17.315174268767937","17.315174268767937"
"212","16.322314498736066","16.322314498736066","16.322314498736066"
"213","11.817952232367832","11.817952232367832","11.817952232367832"
"214","15.79228428515054","15.79228428515054","15.79228428515054"
"215","11.684073565384322","11.684073565384322","11.684073565384322"
"216","11.092524995880881","11.092524995880881","11.092524995880881"
"218","13.117368315119379","13.117368315119379","13.117368315119379"
"219","17.569294774869924","17.569294774869924","17.569294774869924"
"220","13.035256293251454","13.035256293251454","13.035256293251454"
"221","16.94813833793135","16.94813833793135","16.94813833793135"
"222","11.159735647926345","11.159735647926345","11.159735647926345"
"223","16.246768225139053","16.246768225139053","16.246768225139053"
"224","9.491498375516496","9.491498375516496","9.491498375516496"
"225","11.680243855357842","11.680243855357842","11.680243855357842"
"226","21.933691975273522","21.933691975273522","21.933691975273522"
"227","12.576662915023867","12.576662915023867","12.576662915023867"
"229","12.026777820052258","12.026777820052258","12.026777820052258"
"230","15.343148484800817","15.343148484800817","15.343148484800817"
"231","14.666940114213837","14.666940114213837","14.666940114213837"
"232","13.20985175573906","13.20985175573906","13.20985175573906"
"233","10.640232994659884","10.640232994659884","10.640232994659884"
"234","10.523049872074376","10.523049872074376","10.523049872074376"
"235","8.718398411074787","8.718398411074787","8.718398411074787"
"236","12.775767357588373","12.775767357588373","12.775767357588373"
"237","10.092319920497443","10.092319920497443","10.092319920497443"
"238","11.30935041833451","11.30935041833451","11.30935041833451"
"240","15.819986347511492","15.819986347511492","15.819986347511492"
"241","13.321192445033727","13.321192445033727","13.321192445033727"
"242","14.481756856589419","14.481756856589419","14.481756856589419"
"243","11.827631899289013","11.827631899289013","11.827631899289013"
"244","11.832474705446247","11.832474705446247","11.832474705446247"
"245","11.750138664243982","11.750138664243982","11.750138664243982"
"246","10.950550202931751","10.950550202931751","10.950550202931751"
"247","16.18301137345737","16.18301137345737","16.18301137345737"
"248","16.361822482369497","16.361822482369497","16.361822482369497"
"249","11.583424870211356","11.583424870211356","11.583424870211356"
"251","10.02283346978409","10.02283346978409","10.02283346978409"
"252","13.531322344048567","13.531322344048567","13.531322344048567"
"253","13.590233320526474","13.590233320526474","13.590233320526474"
"254","15.792404771177518","15.792404771177518","15.792404771177518"
"255","16.4302867814704","16.4302867814704","16.4302867814704"
"256","24.803297316585798","24.803297316585798","24.803297316585798"
"257","16.618568407031855","16.618568407031855","16.618568407031855"
"258","13.616286499660744","13.616286499660744","13.616286499660744"
"259","10.939595486257446","10.939595486257446","10.939595486257446"
"260","13.175171258543491","13.175171258543491","13.175171258543491"
"262","15.58730966077175","15.58730966077175","15.58730966077175"
"263","20.24626502031166","20.24626502031166","20.24626502031166"
"264","12.076169696254848","12.076169696254848","12.076169696254848"
"265","10.883693742692175","10.883693742692175","10.883693742692175"
"266","12.944106311909058","12.944106311909058","12.944106311909058"
"267","16.87847791635318","16.87847791635318","16.87847791635318"
"268","11.136454996013978","11.136454996013978","11.136454996013978"
"269","10.957363937242464","10.957363937242464","10.957363937242464"
"270","8.734932928203149","8.734932928203149","8.734932928203149"
"271","10.179536662737805","10.179536662737805","10.179536662737805"
"273","15.40270043054173","15.40270043054173","15.40270043054173"
"274","11.10403789963055","11.10403789963055","11.10403789963055"
"276","10.155886457779314","10.155886457779314","10.155886457779314"
"277","17.480110973327665","17.480110973327665","17.480110973327665"
"278","10.546888714203263","10.546888714203263","10.546888714203263"
"279","13.359989922891383","13.359989922891383","13.359989922891383"
"280","16.358943825329764","16.358943825329764","16.358943825329764"
"281","15.443060270487273","15.443060270487273","15.443060270487273"
"282","11.045083611005454","11.045083611005454","11.045083611005454"
"283","14.899583870067895","14.899583870067895","14.899583870067895"
"284","11.099138626821109","11.099138626821109","11.099138626821109"
"285","10.466401614358736","10.466401614358736","10.466401614358736"
"287","12.472550190366633","12.472550190366633","12.472550190366633"
"288","16.46283244345329","16.46283244345329","16.46283244345329"
"289","12.242036695618312","12.242036695618312","12.242036695618312"
"290","15.581260691515293","15.581260691515293","15.581260691515293"
"291","10.619955170981482","10.619955170981482","10.619955170981482"
"292","15.521036875120869","15.521036875120869","15.521036875120869"
"293","9.21371478417791","9.21371478417791","9.21371478417791"
"294","11.320999292786873","11.320999292786873","11.320999292786873"
"295","20.570780781414935","20.570780781414935","20.570780781414935"
"296","12.158900080411915","12.158900080411915","12.158900080411915"
"298","11.630538429760888","11.630538429760888","11.630538429760888"
"299","14.761491242687033","14.761491242687033","14.761491242687033"
"300","13.889081651639879","13.889081651639879","13.889081651639879"
"301","12.715717311531558","12.715717311531558","12.715717311531558"
"302","10.099639817537991","10.099639817537991","10.099639817537991"
"303","10.166436922214961","10.166436922214961","10.166436922214961"
"304","8.433906626250996","8.433906626250996","8.433906626250996"
"305","12.257340393114678","12.257340393114678","12.257340393114678"
"306","9.776472678162376","9.776472678162376","9.776472678162376"
"307","10.77278943912722","10.77278943912722","10.77278943912722"
"309","15.29819433561049","15.29819433561049","15.29819433561049"
"310","12.835788836892988","12.835788836892988","12.835788836892988"
"311","14.137490583827878","14.137490583827878","14.137490583827878"
"312","11.545320934750277","11.545320934750277","11.545320934750277"
"313","11.523450097413498","11.523450097413498","11.523450097413498"
"314","11.396390477122786","11.396390477122786","11.396390477122786"
"315","10.582502272048501","10.582502272048501","10.582502272048501"
"316","15.697712562943801","15.697712562943801","15.697712562943801"
"317","15.812761269956178","15.812761269956178","15.812761269956178"
"318","11.279129628388384","11.279129628388384","11.279129628388384"
"320","9.6535169705869","9.6535169705869","9.6535169705869"
"321","13.197939520072554","13.197939520072554","13.197939520072554"
"322","13.14069459682747","13.14069459682747","13.14069459682747"
"323","15.12703579668102","15.12703579668102","15.12703579668102"
"324","15.787175770493317","15.787175770493317","15.787175770493317"
"325","23.91254437796874","23.91254437796874","23.91254437796874"
"326","15.9093081169196","15.9093081169196","15.9093081169196"
"327","13.147933787171334","13.147933787171334","13.147933787171334"
"328","10.636476613791602","10.636476613791602","10.636476613791602"
"329","12.847199608696656","12.847199608696656","12.847199608696656"
"331","15.077228342676515","15.077228342676515","15.077228342676515"
"332","19.885715869050532","19.885715869050532","19.885715869050532"
"333","11.893589931093462","11.893589931093462","11.893589931093462"
"334","10.630346493412986","10.630346493412986","10.630346493412986"
"335","12.51179310606322","12.51179310606322","12.51179310606322"
"336","16.62405692618404","16.62405692618404","16.62405692618404"
"337","10.816600722744491","10.816600722744491","10.816600722744491"
"338","10.711305191476846","10.711305191476846","10.711305191476846"
"339","8.59438001779811","8.59438001779811","8.59438001779811"
"340","10.017928760440512","10.017928760440512","10.017928760440512"
"342","15.130209908061893","15.130209908061893","15.130209908061893"
"343","10.98444130843437","10.98444130843437","10.98444130843437"